chinese_name,english_name
莫斯科国立语言大学,Moscow State Linguistic University
莫斯科国立运动与旅游大学,Moscow State University of Sport and Tourism
莫斯科国际大学,Moscow International University
莫斯科国际学院,Moscow International Academy
莫斯科市政府莫斯科市立管理大学,Moscow Metropolitan Governance University
莫斯科市立师范大学,Moscow City University
莫斯科建筑学院（国立学院）,Moscow Architectural Institute (State Academy)
莫斯科心理分析学院,Moscow Institute of Psychoanalysis
莫斯科柴可夫斯基国立音乐学院,Moscow Tchaikovsky State Conservatory
莫斯科汽车公路国立技术大学,Moscow Automobile and Road Construction State Technical University
莫斯科物理技术学院（国家研究型大学）,Moscow Institute of Physics and Technology
莫斯科理工大学,Moscow Polytechnic University
莫斯科维特大学,Moscow Witte University
莫斯科航空学院（国家研究型大学）,Moscow Aviation Institute (National Research University)
莫斯科通信与信息技术大学,Moscow Technical University of Communications and Informatics
莫斯科金融与工业大学“协同”,Moscow University for Industry and Finance «Synergy»
莫斯科金融法律大学,Moscow University of Finance and Law
莫斯科鲍曼国立技术大学（国家研究型大学）,Bauman Moscow State Technical University
萨哈林国立大学,Sakhalin State University
萨拉托夫国家研究型国立大学,Saratov State University
萨拉托夫国立医科大学,Saratov State Medical University
萨拉托夫国立技术大学,Yuri Gagarin State Technical University of Saratov
萨拉托夫国立法学院,Saratov State Law Academy
萨拉托夫国立音乐学院,Saratov State Conservatory
萨玛拉国立经济大学,Samara State University of Economics
萨马拉人文学院,Samara Humanitarian Academy
萨马拉公共管理大学（国际市场学院）,Samara University of Public Administration 'International Market Institute'
萨马拉国家研究型大学,Samara National Research University
萨马拉国立技术大学,Samara State Technical University
萨马拉国立社会-师范大学,Samara State University of Social Sciences and Education
西伯利亚商业、管理与心理学学院,Siberian Institute of Business  Management and Psychology
西伯利亚商业与信息技术学院,Siberian Institute of Business and Information Technologies
西伯利亚国立交通大学,Siberian State Transport University
